timestamp,source_ip,destination_ip,src_port,dst_port,protocol,final_label,confidence,attack_votes,total_models,threshold,vote_k,agg_method,model_probabilities
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,54870,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,59212,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,52673,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.210,10.11.163.74,62132,53,TCP,ATTACK,0.373781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:20,10.11.163.210,10.11.163.74,54773,53,TCP,ATTACK,0.373781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:20,10.11.163.210,10.11.163.74,50493,53,TCP,ATTACK,0.373781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,62132,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,54773,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.74,10.11.163.210,53,50493,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:20,10.11.163.210,10.11.163.74,60042,53,TCP,ATTACK,0.500031,4,8,0.5,3,voting+mean,"{'LogisticRegression': 1.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.36, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:20,10.11.163.210,10.11.163.74,51865,53,TCP,ATTACK,0.500031,4,8,0.5,3,voting+mean,"{'LogisticRegression': 1.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.36, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:20,10.11.163.210,10.11.163.74,60277,53,TCP,ATTACK,0.498781,4,8,0.5,3,voting+mean,"{'LogisticRegression': 1.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:21,10.11.163.210,10.11.163.74,56955,53,TCP,ATTACK,0.500031,4,8,0.5,3,voting+mean,"{'LogisticRegression': 1.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.36, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,60042,TCP,ATTACK,0.423781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,51865,TCP,ATTACK,0.423781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,60277,TCP,ATTACK,0.422531,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.34, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,56955,TCP,ATTACK,0.423781,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.35, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:21,10.11.163.210,10.11.163.74,49671,53,TCP,ATTACK,0.376281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:21,10.11.163.210,10.11.163.74,54551,53,TCP,ATTACK,0.376281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:21,10.11.163.210,10.11.163.74,59270,53,TCP,ATTACK,0.376281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
